"index","Login Timestamp","User ID","Round-Trip Time [ms]","IP Address","Country","Region","City","ASN","User Agent String","Browser Name and Version","OS Name and Version","Device Type","Login Successful","Is Attack IP","Is Account Takeover"
"1568462","2020-02-24 09:21:04.167","-8584790992189486164","","170.39.76.55","US","-","-","393398","Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) Gecko/20150101 Firefox/20.0.0.1618 (Chrome variation/193367","Firefox 20.0.0.1618","iOS 11.2.6","mobile","True","False","False"
"1568463","2020-02-24 09:21:05.031","2417094439767123932","","84.209.149.185","NO","Oslo County","Oslo","41164","Mozilla/5.0  (X11; CrOS armv7l 12105.100.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/73.0.3654.0 Safari/537.36 variation/156","Chrome 73.0.3654","Chrome OS 12105.100.0","desktop","False","False","False"
"1568464","2020-02-24 09:21:05.351","2417094439767123932","","84.209.149.185","NO","Oslo County","Oslo","41164","Mozilla/5.0  (X11; CrOS armv7l 12105.100.0) AppleWebKit/537.36 (KHTML, like Gecko Chrome/73.0.3654.0 Safari/537.36 variation/156","Chrome 73.0.3654","Chrome OS 12105.100.0","desktop","True","False","False"
"1568465","2020-02-24 09:21:05.742","8657707027881218022","","10.0.160.24","NO","Oslo County","Oslo","8478","Mozilla/5.0  (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko Chrome/90.0.4411.0 Safari/537.36","Chrome 90.0.4411","Mac OS X 10.14.6","desktop","True","False","False"
"1568466","2020-02-24 09:21:06.167","-4324475583306591935","","46.212.197.129","NO","Viken","Skjetten","41164","Mozilla/5.0 (Linux; U; Android 13.0; i phone X Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/85.0.4183.127 Mobile Safari/537.36 OPR/52.1.2254.54298","Opera Mobile 52.1.2254","Android 13.0","mobile","False","False","False"
"1568467","2020-02-24 09:21:09.128","4283923877102055120","","51.175.36.10","NO","Viken","Saltnes","29695","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.202.74 Safari/537.36","Chrome 79.0.3945.192.202","Mac OS X 10.14.6","desktop","True","False","False"
"1568468","2020-02-24 09:21:09.673","-4324475583306591935","","217.30.69.66","CZ","Hlavni mesto Praha","Prague","48574","Mozilla/5.0  (Linux; U; Android 2.2) Gecko/20100101 Firefox/20.0.0.1618","Firefox 20.0.0.1618","Android 2.2","mobile","False","False","False"
"1568469","2020-02-24 09:21:09.811","8298879746923184002","","10.0.77.224","NO","Oslo County","Oslo","29695","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.17.19.92 Safari/537.36","Chrome 69.0.3497.17.19","Mac OS X 10.14.6","desktop","False","False","False"
"1568470","2020-02-24 09:21:10.285","-5750282843064589785","","191.96.92.52","TH","Bangkok","Bangkok","138156","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.17.19.92 Safari/537.36","Chrome 69.0.3497.17.19","Mac OS X 10.14.6","desktop","True","False","False"
"1568471","2020-02-24 09:21:11.565","3123959754548554187","","10.1.39.90","NO","Oslo County","Oslo","500036","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.192.202.74 Safari/537.36","Chrome 79.0.3945.192.202","Mac OS X 10.14.6","desktop","True","False","False"
"1568472","2020-02-24 09:21:11.981","-1326161709842746951","","10.3.237.60","ID","Bali","Denpasar","502187","Mozilla/5.0  (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko Chrome/90.0.4411.0 Safari/537.36 variation/9153","Chrome 90.0.4411","Mac OS X 10.14.6","desktop","False","False","False"
"1568473","2020-02-24 09:21:12.897","-4324475583306591935","","95.164.131.160","US","Wyoming","Cheyenne","54903","Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.138 Mobile Safari/537.36 PHX/5.4 variation/151024","Chrome Mobile 81.0.4044","iOS 11.2.6","mobile","False","False","False"
"1568474","2020-02-24 09:21:13.394","-4324475583306591935","","81.167.140.137","NO","Innlandet","Elverum","29695","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.17.19.92 Safari/537.36","Chrome 69.0.3497.17.19","Mac OS X 10.14.6","desktop","False","False","False"
"1568475","2020-02-24 09:21:13.546","-3185249098128891410","","10.3.88.61","PL","Greater Poland","Rychwal","209062","Mozilla/5.0  (iPhone; CPU iPhone OS 9_3_4 like Mac OS X) AppleWebKit/537.36 (KHTML, like Gecko Chrome/53.0.2785.97 Mobile Safari/537.36 variation/280790","Chrome Mobile 53.0.2785","iOS 9.3.4","mobile","False","False","False"
"1568476","2020-02-24 09:21:15.156","-3655233895402123340","","46.250.210.32","NO","Rogaland","Haugesund","28824","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.17.19.92 Safari/537.36","Chrome 69.0.3497.17.19","Mac OS X 10.14.6","desktop","True","False","False"
"1568477","2020-02-24 09:21:15.480","-4324475583306591935","","109.238.212.218","CZ","Hlavni mesto Praha","Prague","48574","Mozilla/5.0  (Linux; Android 10.0.99) AppleWebKit/537.36 (KHTML, like Gecko Chrome/73.0.3654.0 Safari/537.36 variation/282270","Chrome 73.0.3654","Android 10.0.99","tablet","False","False","False"
"1568478","2020-02-24 09:21:15.902","-4199479290972750328","","209.236.123.55","US","-","-","393398","Mozilla/5.0  (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) supra AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.138 Mobile Safari/537.36 variation/151082","Chrome Mobile 81.0.4044","iOS 11.2.6","mobile","True","True","False"
"1568479","2020-02-24 09:21:16.123","-4530223014536776978","","23.137.225.61","US","-","-","393398","Mozilla/5.0  (Android 6.0.99; Tablet; https://github.com/das-group/rba-dataset) Plus AppleWebKit/537.36 (KHTML, like Gecko Chrome/81.0.4044.1955.96 Mobile Safari/537.36","Chrome Mobile 81.0.4044.1955","Android 6.0.99","mobile","True","False","False"
"1568480","2020-02-24 09:21:17.137","7907092887356364612","","209.236.123.60","US","-","-","393398","Mozilla/5.0 (Linux; Android 10.0.99; H30-U10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.1923.96 Mobile Safari/537.36 variation/11345","Chrome Mobile 81.0.4044.1923","Android 10.0.99","mobile","True","True","False"
